CYEAR,CUID,CLNUM,F,C-,C,C+,B-,B,B+,A-,A,A+,AVGGPA
106_1,223 M0090,15,0,0,0,0,0,1,0,15,33,3,3.912
106_1,223 M0090,16,0,0,0,0,0,0,0,7,44,0,3.959
106_1,223 M0090,20,0,0,0,0,0,0,0,8,14,1,3.909
106_1,223 M0090,21,0,0,0,0,0,0,1,2,24,0,3.952
106_1,223 M0090,23,0,0,0,0,0,0,0,0,21,33,4.183
106_1,223 M0090,24,0,0,0,0,0,0,0,0,26,7,4.064
106_1,223 M0090,25,0,0,0,0,0,0,0,0,28,26,4.144
106_1,223 M0090,27,0,0,0,0,0,0,0,4,2,0,3.800
106_1,223 M0090,29,0,0,0,0,0,0,0,4,27,0,3.961
106_1,223 M0090,30,0,0,0,0,0,0,0,23,34,4,3.907
106_1,223 M0090,31,0,0,0,0,0,0,1,7,30,7,3.984
106_1,223 M0090,32,0,0,0,0,0,0,0,4,37,9,4.030
106_1,223 M0090,33,0,0,0,0,0,0,0,0,3,1,4.075
106_1,223 M0090,34,0,0,0,0,0,0,0,6,19,11,4.042
106_1,223 M0090,35,0,0,0,0,0,0,4,13,12,18,3.972
106_1,223 M0090,36,0,0,0,0,0,0,0,9,31,1,3.941
106_1,223 M0090,37,0,0,0,0,0,0,0,0,55,0,4.000
106_1,223 M0090,38,0,0,0,0,0,0,0,4,21,1,3.965
106_1,223 M0090,39,0,0,0,0,0,2,11,18,17,15,3.832
106_1,223 M0090,40,0,0,0,0,0,0,0,0,22,5,4.056
106_1,223 M0090,41,0,0,0,0,0,0,0,2,14,3,4.016
106_1,223 M0090,42,0,0,0,0,1,0,0,0,2,6,4.056
106_1,223 M0090,43,0,0,0,0,0,0,0,4,5,0,3.867
106_1,223 M0090,44,0,0,0,0,0,0,0,0,10,0,4.000
106_1,223 M1130,%NOCLNUM%,8,3,0,0,17,26,21,49,34,29,3.424
106_1,223 M1240,%NOCLNUM%,5,4,6,0,20,33,36,50,63,41,3.503
106_1,223EM1310,%NOCLNUM%,5,0,0,0,8,11,11,13,16,33,3.556
106_1,223EM1410,%NOCLNUM%,1,0,2,0,7,34,38,31,21,15,3.446
106_1,223EM1660,%NOCLNUM%,3,1,2,2,5,13,14,33,27,21,3.549
106_1,223 U0530,%NOCLNUM%,2,1,0,0,18,23,20,17,30,29,3.521
106_1,223 U2630,%NOCLNUM%,0,0,0,0,6,13,6,32,36,49,3.860
106_1,223EU9270,%NOCLNUM%,1,0,0,0,0,1,0,0,0,0,1.500
106_1,224 D0010,%NOCLNUM%,188,0,0,0,0,0,1,2,15,15,0.612
106_1,224 D0040,%NOCLNUM%,0,0,0,0,0,0,0,5,32,42,4.141
106_1,224 D1710,%NOCLNUM%,0,0,0,0,0,0,0,0,0,3,4.300
106_1,224 D1810,%NOCLNUM%,0,0,0,0,0,0,0,1,7,6,4.107
106_1,224 D1910,%NOCLNUM%,0,0,0,0,0,0,0,0,2,4,4.200
106_1,224 M0010,%NOCLNUM%,107,0,0,0,3,3,3,16,74,27,2.139
106_1,224 M0120,%NOCLNUM%,0,0,0,0,1,1,1,23,76,48,4.030
106_1,224 M1410,01,0,0,0,0,0,0,1,0,10,5,4.050
106_1,224 M1410,02,0,0,0,0,0,0,0,0,4,1,4.060
106_1,224 U1410,%NOCLNUM%,0,0,0,0,0,0,0,8,13,4,3.952
106_1,224 U1430,%NOCLNUM%,0,0,0,0,0,0,0,2,3,8,4.138
106_1,224 U1510,%NOCLNUM%,0,0,0,0,0,2,9,15,12,2,3.695
106_1,224 U1520,%NOCLNUM%,0,0,0,0,0,2,9,15,11,2,3.687
106_1,224 U1690,%NOCLNUM%,0,0,0,0,0,0,2,11,8,0,3.776
106_1,224 U1790,%NOCLNUM%,0,0,0,0,2,0,4,2,2,5,3.700
106_1,224 U2200,%NOCLNUM%,0,0,0,0,0,2,2,20,16,7,3.845
106_1,224 U2360,%NOCLNUM%,0,0,0,0,0,0,3,2,16,11,4.019
106_1,224 U2400,%NOCLNUM%,0,0,1,1,0,0,4,13,13,5,3.759
106_1,224 U2470,%NOCLNUM%,0,0,0,0,1,1,2,5,6,1,3.694
106_1,224 U2540,%NOCLNUM%,1,0,1,1,0,1,1,1,7,5,3.544
106_1,227 D0010,%NOCLNUM%,119,0,0,0,0,0,0,3,22,11,0.945
106_1,227 D0060,%NOCLNUM%,0,0,0,0,2,10,11,17,39,79,3.989
106_1,227 D0550,%NOCLNUM%,0,0,0,0,0,0,0,0,7,2,4.067
106_1,227 D0890,%NOCLNUM%,0,0,0,0,0,0,0,0,0,2,4.300
106_1,227 D1680,%NOCLNUM%,0,0,0,0,0,0,1,0,1,0,3.650
106_1,227 D2700,%NOCLNUM%,0,0,0,0,0,0,0,0,0,1,4.300
106_1,227 D4000,%NOCLNUM%,0,0,0,0,6,3,1,6,10,3,3.572
106_1,227 M0010,%NOCLNUM%,126,1,0,0,0,0,3,23,102,26,2.194
106_1,227 M0050,%NOCLNUM%,2,0,1,0,23,34,26,42,66,133,3.802
106_1,227 M1220,%NOCLNUM%,3,1,4,0,20,31,35,52,43,26,3.481
106_1,227 M2360,%NOCLNUM%,0,0,0,0,0,0,0,6,7,9,4.041
106_1,227 M2570,%NOCLNUM%,0,0,0,0,0,0,4,8,10,3,3.828
106_1,227 M2830,%NOCLNUM%,0,0,0,0,0,0,0,7,38,14,4.036
106_1,227 M3050,%NOCLNUM%,0,0,0,0,0,0,1,4,19,5,3.986
106_1,227 M3080,%NOCLNUM%,0,0,0,0,0,0,0,4,13,8,4.048
106_1,227 M3120,%NOCLNUM%,0,0,0,0,0,0,1,1,4,3,3.989
106_1,227 M7730,%NOCLNUM%,0,0,0,0,0,0,0,8,12,1,3.900
106_1,227 M8610,%NOCLNUM%,0,0,0,0,0,0,0,0,2,1,4.100
106_1,227 U0540,%NOCLNUM%,1,8,6,2,8,13,5,19,29,38,3.543
106_1,227 U3070,%NOCLNUM%,0,0,0,0,1,0,7,15,13,1,3.719
106_1,227 U6010,%NOCLNUM%,0,0,0,0,0,1,2,9,5,10,3.922
106_1,227 U6190,%NOCLNUM%,1,1,0,0,0,2,5,11,11,16,3.781
106_1,227 U6470,%NOCLNUM%,18,18,11,10,19,35,17,74,62,479,3.862
106_1,227 U6550,%NOCLNUM%,0,0,0,0,0,0,0,7,2,0,3.767
106_1,227 U8010,%NOCLNUM%,0,0,0,0,0,0,0,1,4,1,4.000
106_1,227EU9070,%NOCLNUM%,0,0,0,0,0,0,1,1,1,1,3.825
106_1,228 D0010,%NOCLNUM%,61,0,0,0,0,0,0,0,9,2,0.619
106_1,228 D0050,%NOCLNUM%,1,0,0,0,0,2,1,7,6,4,3.638
106_1,228 D0080,%NOCLNUM%,0,0,0,0,1,2,0,4,5,3,3.760
106_1,228 D0170,%NOCLNUM%,0,0,0,0,0,0,0,2,3,0,3.880
106_1,228 D0180,%NOCLNUM%,0,0,0,0,0,0,0,2,4,4,4.060
106_1,228ED0950,%NOCLNUM%,0,0,0,0,0,0,0,10,22,3,3.940
106_1,228 M0010,%NOCLNUM%,54,0,0,0,0,1,4,21,66,11,2.581
106_1,228 M0060,%NOCLNUM%,3,0,0,2,4,15,8,35,32,6,3.525
106_1,228 M0130,%NOCLNUM%,6,0,3,1,11,9,13,5,5,6,2.919
106_1,228 M3950,%NOCLNUM%,2,1,0,0,0,2,0,1,20,12,3.763
106_1,228 M5450,%NOCLNUM%,0,0,0,0,0,1,0,1,3,6,4.045
106_1,228 M6600,%NOCLNUM%,5,0,5,0,12,17,24,69,45,55,3.640
106_1,228 M9010,%NOCLNUM%,0,0,0,0,0,0,1,10,11,0,3.832
106_1,228 U1330,%NOCLNUM%,0,0,1,0,1,1,2,2,18,0,3.748
106_1,228 U1750,%NOCLNUM%,1,0,0,0,1,0,4,15,6,1,3.561
106_1,228 U2410,%NOCLNUM%,0,0,0,0,0,1,0,2,5,3,3.936
106_1,228 U3100,%NOCLNUM%,0,0,0,0,0,1,3,9,12,1,3.788
106_1,228EU3140,%NOCLNUM%,0,0,0,0,0,0,0,2,1,2,4.000
106_1,229 D0010,%NOCLNUM%,68,0,0,0,0,0,0,0,4,12,0.805
106_1,229 D0030,%NOCLNUM%,0,0,0,0,0,0,1,27,22,5,3.867
106_1,229 D0050,%NOCLNUM%,0,0,0,0,0,0,0,20,16,7,3.909
106_1,229 D4220,%NOCLNUM%,0,0,0,0,0,1,0,0,1,0,3.500
106_1,229 M0010,%NOCLNUM%,42,0,0,0,0,0,0,5,40,23,2.522
106_1,229 M0050,01,0,0,0,0,0,0,2,84,2,0,3.698
106_1,229 M0050,02,0,0,0,0,0,0,1,35,0,0,3.689
106_1,229 M0050,03,3,0,0,0,0,0,1,48,0,2,3.509
106_1,229 M0070,01,0,0,0,0,0,0,0,2,34,9,4.047
106_1,229 M0070,02,0,0,0,0,0,0,1,5,31,8,4.004
106_1,229 M0070,03,0,0,0,0,0,0,0,1,24,2,4.011
106_1,229 M1060,%NOCLNUM%,0,0,1,0,0,3,5,7,6,6,3.686
106_1,229 M2030,%NOCLNUM%,0,1,0,0,2,1,2,15,12,4,3.714
106_1,229 U3020,%NOCLNUM%,1,6,1,1,7,5,5,8,20,24,3.560
106_1,229 U4170,%NOCLNUM%,2,7,5,4,7,16,12,19,13,12,3.211
106_1,229 U4200,%NOCLNUM%,0,0,0,0,2,1,4,14,26,12,3.881
106_1,229 U5520,%NOCLNUM%,2,0,0,0,3,1,5,3,5,10,3.507
106_1,229 U5570,%NOCLNUM%,2,4,1,5,5,6,3,9,10,6,3.153
106_1,229 U5610,%NOCLNUM%,0,0,0,0,1,0,0,2,1,1,3.680
106_1,229 U5630,%NOCLNUM%,0,0,0,0,1,0,0,3,1,0,3.560
106_1,241 D0010,%NOCLNUM%,130,0,0,0,0,1,0,8,14,3,0.651
106_1,241 D0470,01,0,0,0,0,0,0,0,1,9,1,4.000
106_1,241ED0470,02,0,1,0,0,1,2,6,17,4,1,3.544
106_1,241 D0470,03,0,0,1,0,0,1,1,9,10,0,3.709
106_1,241 D0470,04,1,0,0,0,0,0,0,1,2,2,3.383
106_1,241 M0010,%NOCLNUM%,167,1,0,0,2,14,17,51,62,15,1.843
106_1,241 M0020,%NOCLNUM%,0,0,0,0,1,10,15,38,24,5,3.659
106_1,241 M0030,%NOCLNUM%,0,0,0,0,2,6,15,30,45,31,3.854
106_1,241 M0041,%NOCLNUM%,2,0,1,1,1,4,13,28,29,0,3.563
106_1,241 M0050,%NOCLNUM%,1,0,0,0,1,3,12,42,56,9,3.785
106_1,241 M0071,%NOCLNUM%,0,0,0,0,0,0,2,16,10,5,3.858
106_1,241 M1142,%NOCLNUM%,0,0,0,0,0,0,1,8,5,1,3.813
106_1,241 M2310,%NOCLNUM%,0,0,0,0,0,1,1,7,15,12,3.994
106_1,241 M2380,%NOCLNUM%,0,0,0,0,2,2,1,10,15,2,3.759
106_1,241 M2850,%NOCLNUM%,0,0,0,0,1,1,5,5,5,1,3.611
106_1,241 M2940,%NOCLNUM%,2,0,0,0,2,2,5,12,8,2,3.421
106_1,241 M2950,%NOCLNUM%,0,0,0,0,0,0,8,8,30,25,3.993
106_1,241 M2960,%NOCLNUM%,0,0,0,0,3,1,6,19,41,4,3.816
106_1,241 M2970,%NOCLNUM%,0,0,0,0,0,3,4,37,27,4,3.791
106_1,241 M2980,%NOCLNUM%,0,0,0,0,1,8,8,20,1,0,3.450
106_1,241 M3051,%NOCLNUM%,0,0,0,0,1,6,6,52,15,3,3.684
106_1,241 M3160,%NOCLNUM%,0,0,0,0,0,0,0,2,3,1,3.950
106_1,241 M3190,%NOCLNUM%,1,0,0,0,3,1,2,5,5,5,3.532
106_1,241 M3310,%NOCLNUM%,0,0,0,0,0,0,0,12,8,0,3.820
106_1,241 M3350,%NOCLNUM%,0,0,0,0,0,0,3,12,6,0,3.729
106_1,241 M3420,%NOCLNUM%,0,0,0,0,1,2,2,8,11,3,3.770
106_1,241 M3550,%NOCLNUM%,0,0,0,0,0,0,3,2,12,9,4.000
106_1,241 M3620,%NOCLNUM%,0,0,0,0,0,0,1,5,7,5,3.961
106_1,241EM3630,%NOCLNUM%,0,0,0,0,0,0,0,4,10,6,4.030
106_1,241 U0010,%NOCLNUM%,15,7,3,1,26,21,29,42,39,47,3.316
106_1,241EU0140,%NOCLNUM%,0,0,0,0,4,3,2,4,1,5,3.511
106_1,241 U0750,01,73,58,48,65,78,149,149,337,335,489,3.472
106_1,241 U0750,02,44,45,56,58,95,186,177,364,371,410,3.496
106_1,241 U1140,%NOCLNUM%,1,0,0,0,4,8,10,13,11,9,3.546
106_1,241 U1300,%NOCLNUM%,9,8,5,2,16,22,26,61,42,37,3.404
106_1,241 U1630,%NOCLNUM%,0,0,0,0,0,0,2,7,9,3,3.876
106_1,241 U1760,%NOCLNUM%,9,5,5,2,22,18,19,45,56,43,3.458
106_1,241 U1770,%NOCLNUM%,3,8,2,5,27,35,14,48,47,52,3.495
106_1,241 U1830,%NOCLNUM%,0,0,0,0,0,0,0,14,10,5,3.907
106_1,241 U1850,%NOCLNUM%,0,0,0,0,0,0,2,6,8,2,3.856
106_1,241 U1870,%NOCLNUM%,0,0,0,0,0,1,0,5,7,6,3.963
106_1,241EU1910,%NOCLNUM%,0,0,0,1,2,4,4,10,12,6,3.685
106_1,241EU1940,%NOCLNUM%,1,1,0,0,2,4,0,5,6,14,3.691
106_1,241 U1980,%NOCLNUM%,25,4,7,3,41,34,20,43,36,33,3.054
106_1,241 U1990,%NOCLNUM%,0,0,0,0,0,2,10,12,12,8,3.768
106_1,241EU2090,%NOCLNUM%,0,0,0,0,2,0,1,4,4,4,3.780
106_1,241 U3020,%NOCLNUM%,0,1,1,0,1,0,1,0,2,4,3.490
106_1,241 U3050,%NOCLNUM%,0,0,1,0,0,1,4,7,1,0,3.436
106_1,244 D0010,%NOCLNUM%,34,0,0,0,0,0,0,2,0,2,0.421
106_1,244 D0020,01,0,0,0,0,1,1,0,3,16,13,4.021
106_1,244 D0040,%NOCLNUM%,1,0,0,0,0,0,0,1,2,3,3.514
106_1,244ED0060,%NOCLNUM%,0,0,0,1,0,0,2,1,6,1,3.718
106_1,244 D1010,%NOCLNUM%,0,0,0,0,0,1,1,1,4,2,3.844
106_1,244 D1050,%NOCLNUM%,6,0,1,5,5,3,4,24,18,50,3.664
106_1,244 M0010,%NOCLNUM%,31,0,0,0,4,1,5,3,12,1,1.644
106_1,244 M0020,01,1,0,0,0,0,0,2,4,14,14,3.931
106_1,244 M0060,%NOCLNUM%,0,0,1,0,1,1,5,9,8,4,3.679
106_1,244 M1130,%NOCLNUM%,2,1,1,0,8,4,2,5,7,9,3.310
106_1,245 D0010,%NOCLNUM%,18,0,0,0,0,0,0,1,4,5,1.471
106_1,245 D0040,%NOCLNUM%,1,0,0,0,0,0,2,6,5,5,3.700
106_1,245 M0010,%NOCLNUM%,44,0,0,0,1,1,3,15,28,13,2.276
106_1,245 M0040,%NOCLNUM%,0,0,0,0,5,2,5,20,45,5,3.799
106_1,245 M0060,%NOCLNUM%,0,0,0,1,5,8,15,27,19,11,3.634
106_1,245 M0080,%NOCLNUM%,1,1,1,0,9,7,3,11,11,10,3.456
106_1,302 10110,01,6,3,6,9,21,51,49,85,86,40,3.482
106_1,302 10110,02,15,8,3,30,35,67,94,168,68,30,3.314
106_1,302 10110,03,21,42,45,44,57,122,99,180,172,107,3.288
106_1,302 10310,01,2,0,2,6,23,57,95,234,134,21,3.583
106_1,302 10310,02,45,25,42,28,61,83,60,106,80,44,2.969
106_1,302 10310,03,33,40,32,34,41,57,78,148,104,60,3.143
106_1,302 10410,01,10,11,10,22,33,63,112,143,100,63,3.416
106_1,302 10410,02,8,12,13,6,19,27,76,104,94,53,3.476
106_1,302 20210,%NOCLNUM%,2,1,2,2,2,7,22,53,60,22,3.699
106_1,302 20490,%NOCLNUM%,6,6,8,6,4,29,77,138,235,67,3.699
106_1,302 20810,%NOCLNUM%,13,17,13,13,23,54,56,98,98,72,3.409
106_1,302 20900,%NOCLNUM%,0,0,2,1,8,15,38,204,102,32,3.728
106_1,302 21610,%NOCLNUM%,8,0,2,8,9,26,19,103,166,54,3.708
106_1,302 24410,01,58,24,31,25,43,51,40,44,21,17,2.490
106_1,302 24410,02,29,27,44,38,49,77,66,93,44,12,2.869
106_1,302 24410,03,29,38,24,25,70,57,41,84,62,28,2.936
106_1,302 24610,01,6,11,15,9,19,42,53,120,104,58,3.503
106_1,302 24610,02,16,11,18,11,21,42,39,82,131,133,3.553
106_1,302 24710,%NOCLNUM%,31,46,27,35,51,70,70,125,110,124,3.232
106_1,302 27410,%NOCLNUM%,9,0,2,1,0,2,13,37,54,20,3.580
106_1,302 29210,01,25,17,13,10,15,31,28,69,103,155,3.514
106_1,302 29210,02,14,16,15,6,13,34,23,67,107,45,3.392
106_1,302 29210,03,2,5,8,3,11,15,11,20,23,27,3.396
106_1,302 29960,%NOCLNUM%,3,0,4,10,8,26,44,110,94,9,3.563
106_1,302 30110,%NOCLNUM%,20,8,43,1,24,71,82,142,120,30,3.299
106_1,302 30130,%NOCLNUM%,9,3,2,3,4,12,36,137,230,120,3.821
106_1,302 30410,%NOCLNUM%,7,28,20,23,28,38,39,40,31,12,2.941
106_1,302 30450,%NOCLNUM%,1,0,0,0,1,2,4,1,4,4,3.459
106_1,302 31500,%NOCLNUM%,9,3,1,5,22,27,38,102,87,43,3.545
106_1,302 32410,01,14,7,6,9,4,16,9,24,18,27,3.060
106_1,302 32410,02,1,8,5,0,7,22,44,128,89,34,3.638
106_1,302 32500,%NOCLNUM%,4,4,4,8,24,36,63,96,88,55,3.554
106_1,302 33130,%NOCLNUM%,5,13,11,12,34,53,44,57,61,34,3.299
106_1,302 33710,%NOCLNUM%,8,3,13,6,24,42,53,114,92,26,3.444
106_1,302 34110,%NOCLNUM%,3,9,16,11,20,54,84,126,52,8,3.327
106_1,302 36310,%NOCLNUM%,5,3,6,7,8,14,41,74,141,48,3.678
106_1,302 38210,%NOCLNUM%,0,3,1,5,19,21,42,135,82,40,3.652
106_1,302 38700,%NOCLNUM%,11,15,12,7,19,39,49,74,121,166,3.640
106_1,302 40210,%NOCLNUM%,0,0,0,0,0,2,0,6,7,2,3.812
106_1,302 40610,%NOCLNUM%,22,30,23,19,48,68,59,154,78,23,3.148
106_1,302 41710,%NOCLNUM%,5,7,17,18,22,56,121,253,148,50,3.525
106_1,302 43210,%NOCLNUM%,15,18,26,20,35,52,57,137,79,41,3.263
106_1,302 44600,%NOCLNUM%,5,3,6,7,7,14,9,38,69,36,3.584
106_1,302 45100,%NOCLNUM%,4,6,4,8,5,41,55,113,189,84,3.713
106_1,302 45300,%NOCLNUM%,6,2,6,5,14,47,53,90,121,111,3.681
106_1,302 49900,01,3,2,30,29,39,63,63,24,42,82,3.294
106_1,302 50200,%NOCLNUM%,2,6,1,7,7,17,22,49,26,5,3.363
106_1,302 50600,%NOCLNUM%,0,1,1,0,2,2,1,6,5,4,3.536
106_1,302 51900,%NOCLNUM%,28,12,16,28,22,41,27,62,52,63,3.124
106_1,303 13111,01,48,55,58,50,60,89,58,122,142,188,3.187
106_1,303 13111,02,66,32,49,63,94,129,110,209,186,114,3.145
106_1,303 13111,03,55,27,71,50,93,143,100,231,183,200,3.261
106_1,303 13111,04,28,25,23,29,39,46,74,129,134,40,3.224
106_1,303E13111,05,8,7,9,6,12,7,14,25,24,24,3.199
106_1,303E20010,%NOCLNUM%,4,8,5,8,10,13,18,27,49,48,3.525
106_1,303 22010,01,39,66,42,35,35,41,41,56,52,55,2.773
106_1,303 22010,02,35,53,41,33,33,43,30,60,49,58,2.833
106_1,303 22010,03,23,25,26,19,23,51,46,102,94,50,3.210
106_1,303E22010,04,16,16,31,15,33,53,53,52,67,59,3.192
106_1,303 22110,01,41,25,45,38,36,68,52,112,112,123,3.196
106_1,303 22110,02,21,84,38,26,52,47,35,68,56,79,2.946
106_1,303 22110,03,63,79,40,27,38,60,54,97,95,148,3.014
106_1,303E22110,04,15,9,9,14,21,22,26,63,67,55,3.361
106_1,303E22110,05,4,3,0,0,1,3,11,9,8,6,3.204
106_1,303 22130,01,30,56,146,135,116,162,171,276,266,245,3.244
106_1,303 22130,02,44,41,42,32,52,66,46,131,132,218,3.318
106_1,303 22130,03,40,24,20,31,28,56,60,96,124,273,3.482
106_1,303 22230,01,8,22,34,32,42,57,52,105,114,114,3.396
106_1,303 22230,02,13,18,20,12,23,47,40,52,75,76,3.331
106_1,303 25010,01,1,4,5,6,11,14,13,21,14,10,3.252
106_1,303 25010,02,5,2,0,7,5,2,5,12,16,17,3.338
106_1,303 26611,01,4,1,2,6,7,7,7,7,12,10,3.165
106_1,303E26611,02,5,0,6,6,9,11,11,11,12,39,3.416
106_1,303 30110,%NOCLNUM%,4,4,2,3,11,67,44,46,22,15,3.286
106_1,303 35000,01,0,0,0,3,2,0,6,4,11,8,3.685
106_1,303 35000,02,0,1,1,0,1,4,1,9,12,10,3.744
106_1,303 40101,%NOCLNUM%,0,0,0,0,0,0,0,0,6,5,4.136
106_1,303 46500,%NOCLNUM%,12,1,8,1,4,23,24,27,20,14,3.128
106_1,303 47300,%NOCLNUM%,3,12,7,8,11,15,15,20,22,48,3.388
106_1,303 47400,%NOCLNUM%,8,10,10,4,10,9,13,23,19,13,3.026
106_1,303 47600,%NOCLNUM%,0,0,0,1,1,3,1,4,3,2,3.513
106_1,303 48110,%NOCLNUM%,8,7,8,6,11,21,23,44,40,32,3.354
106_1,303 48200,%NOCLNUM%,3,1,0,0,0,4,7,12,20,6,3.528
106_1,303 49120,%NOCLNUM%,10,6,6,2,4,5,4,2,2,8,2.359
106_1,305 101A1,%NOCLNUM%,15,13,16,21,39,97,114,221,121,32,3.359
106_1,305 101D0,01,14,5,12,6,16,57,97,345,334,103,3.676
106_1,305 101D0,02,13,14,25,31,35,80,120,380,299,103,3.564
106_1,305 101D0,03,6,8,25,17,13,48,39,42,300,9,3.559
106_1,305 21130,%NOCLNUM%,2,0,0,3,3,5,5,32,33,4,3.610
106_1,305 23100,%NOCLNUM%,6,7,3,6,12,38,74,154,87,26,3.515
106_1,305 24200,%NOCLNUM%,12,4,2,2,3,11,15,25,20,8,3.068
106_1,305 33100,%NOCLNUM%,1,1,1,3,4,12,53,27,8,2,3.329
106_1,305 34100,%NOCLNUM%,2,1,11,14,14,28,20,33,24,9,3.208
106_1,305 34300,%NOCLNUM%,1,3,1,0,3,5,5,23,45,6,3.670
106_1,305 40301,%NOCLNUM%,15,23,25,25,34,58,64,95,65,10,3.087
106_1,305 49510,%NOCLNUM%,3,1,0,1,4,14,12,33,12,2,3.355
106_1,305 61500,%NOCLNUM%,3,1,2,1,5,6,11,83,34,8,3.593
106_1,310 11001,%NOCLNUM%,31,19,44,37,54,62,44,58,46,16,2.798
106_1,310 15010,%NOCLNUM%,2,0,1,2,2,1,4,28,24,8,3.642
106_1,310 15800,%NOCLNUM%,0,1,0,0,2,2,3,4,2,15,3.803
106_1,310 32001,%NOCLNUM%,0,1,1,3,7,25,24,71,58,40,3.697
106_1,310 34000,%NOCLNUM%,5,0,1,0,4,8,7,58,140,110,3.926
106_1,310 36810,%NOCLNUM%,0,0,0,0,0,4,4,14,11,5,3.750
106_1,310 41000,%NOCLNUM%,7,12,8,6,17,25,31,87,70,71,3.535
106_1,310 43000,01,0,0,0,0,1,2,2,11,8,6,3.793
106_1,310 43000,02,0,0,0,1,0,0,4,11,9,7,3.822
106_1,310 43000,03,0,0,0,0,1,0,1,7,8,9,3.946
106_1,310 43000,04,0,0,0,0,0,1,2,5,11,11,3.980
106_1,310 43000,05,0,0,0,0,1,0,2,2,14,12,4.010
106_1,322 D0010,%NOCLNUM%,151,0,0,0,0,0,0,4,12,2,0.422
106_1,322 D0020,01,0,0,0,0,0,0,0,0,1,1,4.150
106_1,322 D0020,02,0,0,0,0,0,0,0,0,0,2,4.300
106_1,322 D0300,%NOCLNUM%,0,0,0,0,0,0,0,0,1,2,4.200
106_1,322 D1080,%NOCLNUM%,0,0,0,0,0,0,0,1,2,4,4.129
106_1,322 D1130,%NOCLNUM%,0,0,0,0,0,0,0,0,6,7,4.162
106_1,322 M0010,%NOCLNUM%,585,0,0,0,0,1,1,31,219,51,1.370
106_1,322 M3510,%NOCLNUM%,0,0,0,0,0,0,0,0,0,1,4.300
106_1,322 M3830,%NOCLNUM%,0,0,0,0,1,0,0,6,14,15,4.039
106_1,322 M3910,%NOCLNUM%,2,0,0,0,0,0,0,0,84,23,3.990
106_1,322 M3930,%NOCLNUM%,0,0,0,0,0,0,0,1,3,20,4.237
106_1,322 M4010,%NOCLNUM%,0,0,0,0,1,3,6,7,17,12,3.848
106_1,322 M4030,%NOCLNUM%,1,0,2,0,0,2,2,41,52,16,3.837
106_1,322 M4070,%NOCLNUM%,0,0,0,0,0,0,2,10,32,13,3.991
106_1,322 M4200,%NOCLNUM%,0,0,0,0,0,0,0,0,7,3,4.090
106_1,322 M4280,%NOCLNUM%,1,0,0,0,0,1,2,17,15,9,3.804
106_1,322 M4310,%NOCLNUM%,1,0,0,3,14,27,21,56,19,9,3.446
106_1,322 M4540,%NOCLNUM%,0,0,0,0,0,1,12,41,59,30,3.911
106_1,322 M4550,%NOCLNUM%,1,0,0,0,0,0,2,21,76,36,3.993
106_1,322 M4570,%NOCLNUM%,0,0,0,0,7,16,19,35,35,26,3.702
106_1,322 M4620,%NOCLNUM%,0,0,0,0,0,1,9,67,45,14,3.829
106_1,322 M4670,%NOCLNUM%,2,0,0,1,0,0,6,21,16,9,3.682
106_1,322 M4940,%NOCLNUM%,0,0,0,0,6,8,12,42,64,10,3.762
106_1,322 M5010,%NOCLNUM%,0,0,0,0,0,0,0,14,14,9,3.959
106_1,322 M5030,%NOCLNUM%,1,0,0,0,0,0,1,15,22,19,3.940
106_1,322 M5110,%NOCLNUM%,0,0,0,0,0,0,1,1,8,4,4.014
106_1,322 M5260,%NOCLNUM%,2,0,0,0,0,1,1,7,6,1,3.361
106_1,322 U1330,%NOCLNUM%,0,0,0,0,0,0,4,10,17,11,3.940
106_1,322 U1730,%NOCLNUM%,0,0,0,0,1,2,4,8,8,6,3.769
106_1,322 U1820,%NOCLNUM%,1,0,0,0,0,0,1,11,8,1,3.650
106_1,323 D0010,%NOCLNUM%,18,0,0,0,0,0,0,2,7,11,2.176
106_1,323 M0010,%NOCLNUM%,166,0,0,0,0,1,0,27,151,112,2.601
106_1,323 M0020,%NOCLNUM%,0,0,0,0,12,22,73,167,114,41,3.705
106_1,323 M0130,%NOCLNUM%,1,0,0,0,0,0,4,6,12,10,3.830
106_1,323 M0150,%NOCLNUM%,0,0,0,0,1,1,9,3,5,20,3.910
106_1,323EM0500,%NOCLNUM%,1,0,0,0,33,38,44,42,45,62,3.586
106_1,323EM0610,%NOCLNUM%,9,2,1,6,17,15,18,22,21,13,3.152
106_1,323 M0620,%NOCLNUM%,3,1,3,1,7,5,16,26,24,23,3.558
106_1,323 M1030,%NOCLNUM%,0,0,0,0,0,3,2,2,6,17,4.003
106_1,323 M2290,%NOCLNUM%,0,0,0,0,1,1,3,37,26,42,3.974
106_1,323 M3710,%NOCLNUM%,0,0,0,0,0,0,4,15,15,5,3.851
106_1,323 M3720,%NOCLNUM%,1,0,0,0,1,1,1,3,2,6,3.593
106_1,323EM4110,%NOCLNUM%,1,0,0,0,0,0,0,0,2,0,2.667
106_1,323 M4130,%NOCLNUM%,0,0,0,0,0,0,0,1,2,0,3.900
106_1,323 M6480,%NOCLNUM%,0,0,0,0,0,0,4,3,6,7,3.920
106_1,323 M6550,%NOCLNUM%,0,0,0,0,0,3,3,7,12,10,3.880
106_1,323 M7100,%NOCLNUM%,0,0,0,0,2,16,21,28,36,34,3.770
