101 271A1,02,6,5,5,4,12,16,16,44,57,35,3.511
101 27701,,6,2,4,3,3,10,12,40,41,14,3.468
101 28310,,9,5,9,9,16,39,50,189,251,180,3.764
101 28310,,9,5,9,9,16,39,50,189,251,180,3.764
101 311A1,01,7,7,4,1,2,5,4,6,5,3,2.52
101 311A1,02,1,1,1,4,2,3,5,8,4,4,3.23
101 320A1,,0,5,3,0,6,6,8,14,21,24,3.61
101 322A1,,2,0,1,1,0,1,4,10,15,52,3.966
101 323A1,,12,22,10,2,6,9,10,17,15,34,2.973
101 331A1,,3,2,1,1,1,10,16,25,19,13,3.49
101 332A1,,6,0,3,6,8,9,25,51,67,35,3.61
101 334A1,,8,4,7,2,10,11,12,26,37,15,3.286
101 34001,,0,1,2,0,2,1,4,6,8,4,3.525
101 35700,,1,0,0,1,0,2,1,4,10,7,3.712
101 36201,,7,3,1,0,3,8,6,39,79,29,3.68
101 36401,,7,4,4,7,8,13,21,45,71,41,3.564
101 37401,,16,8,6,5,13,20,30,73,71,21,3.329
101 40400,,1,1,2,1,4,9,11,19,15,21,3.604
101 41101,01,2,0,4,5,1,5,5,3,6,2,2.952
101 41101,02,1,3,2,1,1,6,7,7,4,5,3.205
101 41201,01,9,9,3,4,8,15,10,23,10,18,3.051
101 41201,02,14,10,5,7,9,13,14,21,20,19,2.97
101 42200,,1,1,2,4,8,13,9,26,19,9,3.436
101 42401,,9,5,5,5,8,9,12,21,21,17,3.152
101 42800,,14,42,32,27,43,69,92,195,204,91,3.403
101 42900,,5,1,3,2,10,13,10,33,35,59,3.667
101 45601,,0,0,1,0,2,5,0,5,5,2,3.475
101 45901,,2,1,0,2,4,22,20,41,24,7,3.471
101 46001,,0,0,0,1,1,1,2,9,11,13,3.889
101 46100,,0,0,0,0,0,2,0,2,3,0,3.629
101 51110,,0,1,0,0,0,1,0,0,8,25,4.12
101 51400,,1,1,0,1,0,2,4,11,23,20,3.84
101 51410,,6,0,1,0,1,4,6,13,25,30,3.647
101 51420,,0,0,0,0,1,0,0,4,17,6,3.975
101 51500,,0,0,0,0,0,0,0,4,8,3,3.98
101 51510,,1,1,0,0,1,2,0,7,14,86,4.126
101 51520,,0,1,0,0,0,0,0,1,4,19,4.124
101 52500,,0,0,0,0,0,0,3,2,5,2,3.825
102 10370,,0,2,1,1,3,4,8,19,14,6,3.557
102 14110,01,12,8,9,10,12,9,17,49,57,75,3.496
102E14110,02,2,10,11,11,11,26,22,42,65,58,3.525
102 14201,01,4,1,5,4,4,10,5,17,23,23,3.458
102 14201,02,2,0,2,5,1,9,10,30,22,8,3.501
102 14201,03,0,2,0,0,2,7,21,18,23,25,3.727
102 21111,01,9,11,14,4,7,29,5,40,62,163,3.707
102 21111,01,9,11,14,4,7,29,5,40,62,163,3.707
102 21111,02,11,6,2,15,9,25,22,61,51,178,3.726
102 21111,02,11,6,2,15,9,25,22,61,51,178,3.726
102 22111,01,0,1,2,0,6,4,8,20,18,61,3.905
102 22111,02,4,1,0,1,3,11,4,23,36,66,3.834
102 22111,02,4,1,0,1,3,11,4,23,36,66,3.834
102 22111,03,1,0,1,1,6,11,17,38,58,42,3.787
102 22111,04,17,5,6,2,9,4,9,23,44,132,3.665
102 22111,05,2,1,3,5,6,6,10,24,34,113,3.907
102 22111,05,2,1,3,5,6,6,10,24,34,113,3.907
102 22111,06,4,3,4,3,8,15,22,57,59,40,3.619
102 22111,07,1,0,0,3,4,9,21,53,59,49,3.803
102 22111,07,1,0,0,3,4,9,21,53,59,49,3.803
102 22111,08,5,1,4,4,10,8,22,63,54,39,3.616
102 22111,09,14,12,6,8,6,17,14,32,37,42,3.251
102 22111,09,14,12,6,8,6,17,14,32,37,42,3.251
102 22111,10,4,1,2,0,4,4,5,9,12,45,3.719
102 22111,11,1,2,1,4,9,18,19,41,56,37,3.672
102 22211,01,6,4,4,2,9,10,14,35,55,176,3.893
102 22211,01,6,4,4,2,9,10,14,35,55,176,3.893
102 22211,02,5,1,7,7,10,12,10,33,43,157,3.849
102 22211,03,12,8,9,8,13,23,17,29,51,70,3.427
102 22211,03,12,8,9,8,13,23,17,29,51,70,3.427
102 22211,04,4,2,2,8,5,12,22,39,69,74,3.74
102 22211,04,4,2,2,8,5,12,22,39,69,74,3.74
102 22211,07,4,6,4,11,10,13,19,42,61,95,3.698
102 22211,07,4,6,4,11,10,13,19,42,61,95,3.698
102 22211,08,1,1,5,4,8,14,16,43,49,90,3.807
102 22311,01,12,5,6,4,11,13,16,40,62,74,3.561
102 22311,01,12,5,6,4,11,13,16,40,62,74,3.561
102 22311,02,6,4,6,7,7,15,17,44,49,57,3.579
102 22311,03,14,3,8,3,12,11,11,41,49,68,3.499
102 22311,04,6,5,4,6,3,5,17,38,39,83,3.704
102 22311,05,4,0,3,6,2,7,11,27,42,76,3.804
102 22311,06,2,1,1,2,1,8,8,33,30,84,3.91
102 22311,07,9,4,6,7,5,15,13,30,27,38,3.368
102 22311,07,9,4,6,7,5,15,13,30,27,38,3.368
102 22311,08,4,0,2,0,3,11,8,30,54,86,3.88
102 22311,10,7,2,5,5,7,20,7,32,35,40,3.483
102 22311,10,7,2,5,5,7,20,7,32,35,40,3.483
102 22311,11,2,1,1,1,3,4,1,2,11,12,3.484
102 22411,01,6,4,2,4,10,14,16,34,26,38,3.474
102 22411,01,6,4,2,4,10,14,16,34,26,38,3.474
102 22411,02,2,4,4,7,2,7,18,16,34,37,3.595
102 22411,02,2,4,4,7,2,7,18,16,34,37,3.595
102 22611,01,0,0,0,0,0,2,6,18,16,27,3.949
102 22611,01,0,0,0,0,0,2,6,18,16,27,3.949
102 22611,01,0,0,0,0,0,2,6,18,16,27,3.949
102 22711,,0,0,2,3,3,0,4,16,44,46,3.942
102 22721,,0,0,1,0,0,0,1,1,7,5,3.9
102E22811,,6,0,0,1,0,4,8,10,7,13,3.298
102E22811,,6,0,0,1,0,4,8,10,7,13,3.298
102 22821,01,21,15,7,7,4,14,14,21,19,18,2.755
102 22821,01,21,15,7,7,4,14,14,21,19,18,2.755
102 22821,01,21,15,7,7,4,14,14,21,19,18,2.755
102 22821,02,3,1,3,1,7,8,11,20,25,35,3.629
102 22821,02,3,1,3,1,7,8,11,20,25,35,3.629
102 22831,,3,1,0,2,4,8,11,24,39,49,3.779
102 22831,,3,1,0,2,4,8,11,24,39,49,3.779
102 22841,,2,0,0,1,4,3,5,16,23,28,3.783
